Name,HomeCountry,Sport,Year,HostCountry,GoldMedal,SilverMedal,BronzeMedal,TotalMedals
Jorik Hendrickx,Belgium,Figure Skating,2014,Russia,,,,0
Jorik Hendrickx,Belgium,Figure Skating,2018,South Korea,,,,0
Edel Høiseth,Norway,Speed Skating,1984,Bosnia and Herzegovina,,,,0
Edel Høiseth,Norway,Speed Skating,1988,Canada,,,,0
Edel Høiseth,Norway,Speed Skating,1992,France,,,,0
Edel Høiseth,Norway,Speed Skating,1994,Norway,,,,0
Edel Høiseth,Norway,Speed Skating,1998,Japan,,,,0
Erika Hoist,Sweden,Ice Hockey,1998,Japan,,,,0
Erika Hoist,Sweden,Ice Hockey,2002,United States,,,1,1
Erika Hoist,Sweden,Ice Hockey,2006,Italy,,1,,1
Erika Hoist,Sweden,Ice Hockey,2010,Canada,,,,0
Daniela Iraschko-Stolz,Austria,Ski Jumping,2014,Russia,,1,,1
Daniela Iraschko-Stolz,Austria,Ski Jumping,2018,South Korea,,,,0
Brianne Jenner,Canada,Ice Hockey,2014,Russia,1,,,1
Brianne Jenner,Canada,Ice Hockey,2018,South Korea,,1,,1
Barbara Jezeršek,Slovenia,Cross-Country Skiing,2010,Canada,,,,0
Barbara Jezeršek,Slovenia,Cross-Country Skiing,2014,Russia,,,,0
Barbara Jezeršek,Australia,Cross-Country Skiing,2018,South Korea,,,,0
Peter Johansson,Sweden,Figure Skating,1988,Canada,,,,0
Lyndon Johnston,Canada,Pairs Figure Skating,1984,Bosnia and Herzegovina,,,,0
Lyndon Johnston,Canada,Pairs Figure Skating,1988,Canada,,,,0
Kathleen Kauth,United States,Ice Hockey,2006,Italy,,,1,1
Gus Kenworthy,United States,Freestyle Skiing,2014,Russia,,1,,1
Gus Kenworthy,United States,Freestyle Skiing,2018,South Korea,,,,0
Stine Brun Kjeldaas,Norway,Snowboard,1998,Japan,,1,,1
Stine Brun Kjeldaas,Norway,Snowboard,2002,United States,,,,0
Charlene Labonté,Canada,Ice Hockey,2006,Italy,1,,,1
Charlene Labonté,Canada,Ice Hockey,2010,Canada,1,,,1
Charlene Labonté,Canada,Ice Hockey,2014,Russia,1,,,1
Yiva Lindberg,Sweden,Ice Hockey,1998,Japan,,,,0
Yiva Lindberg,Sweden,Ice Hockey,2002,United States,,,1,1
Yiva Lindberg,Sweden,Ice Hockey,2006,Italy,,1,,1
Cheryl Maas,The Netherlands,Snowboard,2006,Italy,,,,0
Cheryl Maas,The Netherlands,Snowboard,2014,Russia,,,,0
Cheryl Maas,The Netherlands,Snowboard,2018,South Korea,,,,0
George Mallory,United Kingdom,Alpinism (Mountaneering),1924,France,1,,,1
Rob McCall,Canada,Pairs Figure Skating,1984,Bosnia and Herzegovina,,,,0
Rob McCall,Canada,Pairs Figure Skating,1988,Canada,,,1,1
David McGillivray,Canada,Figure Skating,1968,France,,,,0
Cecilia McIntosh,Australia,2-Woman Bobsleigh,2010,Canada,,,,0
Axel Médéric,France,Figure Skating,1988,Canada,,,,0
Cameron Medhurst,Australia,Figure Skating,1984,Bosnia and Herzegovina,,,,0
Cameron Medhurst,Australia,Figure Skating,1988,Canada,,,,0
Cameron Medhurst,Australia,Figure Skating,1992,France,,,,0
Simone Meiler,Switzerland,Snowboard,2010,Canada,,,,0
Simone Meiler,Switzerland,Snowboard,2014,Russia,,,,0
Simone Meiler,Switzerland,Snowboard,2018,South Korea,,,,0
Kim Meylemans,Belgium,Skeleton,2018,South Korea,,,,0
Eric Mitchell,Canada,Ski Jumping,2010,Canada,,,,0
Ondrej Nepela,Czechoslovakia,Figure Skating,1964,Austria,,,,0
Ondrej Nepela,Czechoslovakia,Figure Skating,1968,France,,,,0
Ondrej Nepela,Czechoslovakia,Figure Skating,1972,Japan,1,,,1
Brian Olsen,United States,Biathlon,2006,Italy,,,,0
Ryan O'Meara,United States,Pairs Figure Skating,2006,Italy,,,,0
Brian Orser,Canada,Figure Skating,1984,Bosnia and Herzegovina,,1,,1
Brian Orser,Canada,Figure Skating,1988,Canada,,1,,1
Caroline Ouellette,Canada,Ice Hockey,2002,United States,1,,,1
Caroline Ouellette,Canada,Ice Hockey,2006,Italy,1,,,1
Caroline Ouellette,Canada,Ice Hockey,2010,Canada,1,,,1
Caroline Ouellette,Canada,Ice Hockey,2014,Russia,1,,,1
Šarká Pančochová,Czech Republic,Snowboard,2010,Canada,,,,0
Šarká Pančochová,Czech Republic,Snowboard,2014,Russia,,,,0
Šarká Pančochová,Czech Republic,Snowboard,2018,South Korea,,,,0
Paul Bonifacio Parkinson,Italy,Figure Skating,2014,Russia,,,,0
Anja Pärson,Sweden,Skiing,2002,United States,,1,1,2
Anja Pärson,Sweden,Skiing,2006,Italy,1,,2,3
Anja Pärson,Sweden,Skiing,2010,Canada,,,1,1
Brian Pockar,Canada,Figure Skating,1980,United States,,,,0
Eric Radford,Canada,Pairs Figure Skating,2014,Russia,,1,,1
Eric Radford,Canada,Pairs Figure Skating,2018,South Korea,1,,1,2
Emilia Andersson Ramboldt,Sweden,Ice Hockey,2010,Canada,,,,0
Emilia Andersson Ramboldt,Sweden,Ice Hockey,2014,Russia,,,,0
Emilia Andersson Ramboldt,Sweden,Ice Hockey,2018,South Korea,,,,0
Javier Raya,Spain,Figure Skating,2014,Russia,,,,0
Adam Rippon,United States,Figure Skating,2010,Canada,,,,0
Adam Rippon,United States,Figure Skating,2018,South Korea,,,1,1
Ronnie Robertson,United States,Figure Skating,1956,Italy,,1,,1
Emanuel Sandhu,Canada,Figure Skating,2002,United States,,,,0
Emanuel Sandhu,Canada,Figure Skating,2006,Italy,,,,0
Matt Savole,United States,Figure Skating,2006,Italy,,,,0
Georgia Simmerling,Canada,Skiing,2010,Canada,,,,0
Georgia Simmerling,Canada,Freestyle Skiing,2014,Russia,,,,0
Blake Skjellerup,New Zealand,Speed Skating,2010,Canada,,,,0
Vibeke Skofterud,Norway,Cross-Country Skiing,2002,United States,,,,0
Vibeke Skofterud,Norway,Cross-Country Skiing,2010,Canada,1,,,1
Fumie Suguri,Japan,Figure Skating,2002,United States,,,,0
Fumie Suguri,Japan,Figure Skating,2006,Italy,,,,0
Sarah Vaillancourt,Canada,Ice Hockey,2006,Italy,1,,,1
Sarah Vaillancourt,Canada,Ice Hockey,2010,Canada,1,,,1
Sanne van Kerkhof,The Netherlands,Speed Skating,2010,Canada,,,,0
Sanne van Kerkhof,Canada,Speed Skating,2014,Russia,,,,0
Kerry Weiland-Sorbara,United States,Ice Hockey,2010,Canada,,1,,1
Johnny Weir,United States,Figure Skating,2006,Italy,,,,0
Johnny Weir,United States,Figure Skating,2010,Canada,,,,0
Marieke Wijsman,The Netherlands,Speed Skating,1998,Japan,,,,0
Marieke Wijsman,The Netherlands,Speed Skating,2002,United States,,,,0
Russ Witherby,United States,Pairs Figure Skating,1992,France,,,,0
Christine Witty,United States,Speed Skating,1994,Norway,,,,0
Christine Witty,United States,Speed Skating,1998,Japan,,1,1,2
Christine Witty,United States,Speed Skating,2002,United States,,,,0
Marion Wohlrab,Germay,Speed Skating,2002,United States,,,,0
Ireen Wüst,The Netherlands,Speed Skating,2006,Italy,1,,1,2
Ireen Wüst,The Netherlands,Speed Skating,2010,Canada,1,,,1
Ireen Wüst,The Netherlands,Speed Skating,2014,Russia,2,3,,5
Ireen Wüst,The Netherlands,Speed Skating,2018,South Korea,1,2,,3
Angelo D'Agostino,United States,Figure Skating,1988,Canada,,,,0
Matthew Hall,Canada,Figure Skating,1988,Canada,,,,0
Timothy LeDuc,United States,Pairs Figure Skating,2018,South Korea,,,,0
Mark Mitchell,United States,Figure Skating,1992,France,,,,0
Lance Travis,United States,Pairs Figure Skating,1994,Norway,,,,0
Courtney Yamada-Anderson,United States,Skeleton Bobsleigh,2006,Italy,,,,0
Greg Zuerlein,United States,Pairs Figure Skating,2010,Canada,,,,0
Helena Åberg,Sweden,Swimming,1988,South Korea,,,,0
Diana Alba,Brazil,Water Polo,2016,Brazil,,,,0
Yenny Acuña Berrios,Chile,Football,2020,Japan,,,,0
Nicola Adams,United Kingdom,Boxing,2012,United Kingdom,1,,,1
Nicola Adams,United Kingdom,Boxing,2016,Brazil,1,,,1
Francilia Agar Schofield,Dominica,Swimming,2000,Australia,,,,0
Marilyn Agliotti,South Africa,Hockey,2000,Australia,,,,0
Marilyn Agliotti,The Netherlands,Hockey,2008,China,1,,,1
Marilyn Agliotti,The Netherlands,Hockey,2012,United Kingdom,1,,,1
Michelle-Lee Ahye,Trinidad and Tobago,Track Athletics,2012,United Kingdom,,,,0
Michelle-Lee Ahye,Trinidad and Tobago,Track Athletics,2016,Brazil,,,,0
Michelle-Lee Ahye,Trinidad and Tobago,Track Athletics,2020,Japan,,,,0
Elissa Alarie,Canada,Rugby Sevens,2016,Brazil,,,,0
Elissa Alarie,Canada,Rugby Sevens,2020,Japan,,,,0
Francielle Alberto,Brazil,Football,2008,China,,1,,1
Francielle Alberto,Brazil,Football,2012,United Kingdom,,,,0
Julie Allemand,Belgium,Basketball,2020,Japan,,,,0
Andressa Alves,Brazil,Football,2016,Brazil,,,,0
Andressa Alves,Brazil,Football,2020,Japan,,,,0
"Fabiana ""Fabi"" Alvim",Brazil,Volleyball,2008,China,1,,,1
"Fabiana ""Fabi"" Alvim",Brazil,Volleyball,2012,United Kingdom,1,,,1
Anja Andersen,Denmark,Handball,1996,United States,1,,,1
Camilla Andersen,Denmark,Handball,1996,United States,1,,,1
Camilla Andersen,Denmark,Handball,2000,Australia,1,,,1
Emanuel Andrade,Venezuela,Equestrian Jumping,2016,Brazil,,,,0
Ramsey Angela,The Netherlands,Track Athletics,2020,Japan,,1,,1
Nadine Angerer,Germany,Football,2000,Australia,,,,0
Nadine Angerer,Germany,Football,2004,Greece,,,,0
Nadine Angerer,Germany,Football,2008,China,,,1,1
Alyson Annan-Thate,Australia,Hockey,1992,Spain,,,,0
Alyson Annan-Thate,Australia,Hockey,1996,United States,1,,,1
Alyson Annan-Thate,Australia,Hockey,2000,Australia,1,,,1
Gelsa Arcanjo,Brazil,Shot Put,2012,United Kingdom,,,,0
Gelsa Arcanjo,Brazil,Shot Put,2016,Brazil,,,,0
Gelsa Arcanjo,Brazil,Shot Put,2020,Japan,,,,0
"Barbara ""Babi"" Arenhart",Brazil,Handball,2016,Brazil,,,,0
"Barbara ""Babi"" Arenhart",Brazil,Handball,2020,Japan,,,,0
Judith Arndt,Germany,Cycling,1996,United States,,,1,1
Judith Arndt,Germany,Cycling,2000,Australia,,,,0
Judith Arndt,Germany,Cycling,2004,Greece,,1,,1
Judith Arndt,Germany,Cycling,2008,China,,,,0
Judith Arndt,Germany,Cycling,2012,United Kingdom,,1,,1
Anita Asante,United Kingdom,Football,2012,United Kingdom,,,,0
Seimone Augustus,United States,Basketball,2008,China,1,,,1
Seimone Augustus,United States,Basketball,2012,United Kingdom,1,,,1
Seimone Augustus,United States,Basketball,2016,Brazil,1,,,1
Jennifer Azzi,United States,Basketball,1996,United States,1,,,1
Shawnacy Barber,Canada,Pole Vault,2016,Brazil,,,,0
Betty Baxter,Canada,Volleyball,1976,Canada,,,,0
John Beer,Germany,Shooting,2020,Japan,,,,0
Alice Bellandi,Italy,Judo,2020,Japan,,,,0
Perris Benagas,United States,BMX Cycling,2020,Japan,,,,0
Britt Benn,Canada,Rugby Sevens,2016,Brazil,,,1,1
Britt Benn,Canada,Rugby Sevens,2020,Japan,,,,0
Kajsa Bergqvist,Sweden,High Jump,1996,United States,,,,0
Kajsa Bergqvist,Sweden,High Jump,2000,Australia,,,1,1
Guylaine Bernier,Canada,Rowing,1976,Canada,,,,0
Tully Bevilaqua,Australia,Basketball,2008,China,,1,,1
Sue Bird,United States,Basketball,2004,Greece,1,,,1
Sue Bird,United States,Basketball,2008,China,1,,,1
Sue Bird,United States,Basketball,2012,United Kingdom,1,,,1
Sue Bird,United States,Basketball,2016,Brazil,1,,,1
Sue Bird,United States,Basketball,2020,Japan,1,,,1
Carl Blasco,France,Triathlon,2000,Australia,,,,0
Carl Blasco,France,Triathlon,2004,Greece,,,,0
Miriam Blasco,Spain,Judo,1992,Spain,1,,,1
Lucilla Boari,Italy,Archery,2016,Brazil,,,,0
Lucilla Boari,Italy,Archery,2020,Japan,,,,0
Tom Bosworth,United Kingdom,Race Walk,2016,Brazil,,,,0
Tom Bosworth,United Kingdom,Race Walk,2020,Japan,,,,0
Erica Bougard,United States,Heptathlon,2020,Japan,,,,0
Raelene Boyle,Australia,Track Athletics,1968,Mexico,,1,,1
Raelene Boyle,Australia,Track Athletics,1972,Germany,,2,,2
Raelene Boyle,Australia,Track Athletics,1976,Canada,,,,0
Stephen Bradley,United States,Equestrian 3-Day Event,1992,Spain,,,,0
Nicole Branagh,United States,Beach Volleyball,2008,China,,,,0
Sabine Braun,Germany,Heptathlon,1984,United States,,,,0
Sabine Braun,Germany,Heptathlon,1988,South Korea,,,,0
Sabine Braun,Germany,Heptathlon,1992,Spain,,,1,1
Sabine Braun,Germany,Heptathlon,1996,United States,,,,0
Sabine Braun,Germany,Heptathlon,2000,Australia,,,,0
Kelly Brazier,New Zealand,Rugby Sevens,2016,Brazil,,1,,1
Kelly Brazier,New Zealand,Rugby Sevens,2020,Japan,1,,,1
Lee Brearley,United Kingdom,Trampoline,2000,Australia,,,,0
Michaela Breeze,United Kingdom,Weightlifting,2004,Greece,,,,0
Michaela Breeze,United Kingdom,Weightlifting,2008,China,,,,0
Linda Bresonik,Germany,Football,2008,China,,,1,1
Lucy Bronze,United Kingdom,Football,2020,Japan,,,,0
Gayle Broughton,New Zealand,Rugby Sevens,2016,Brazil,,1,,1
Gayle Broughton,New Zealand,Rugby Sevens,2020,Japan,1,,,1
Rachele Bruni,Italy,Open Water Swimming,2016,Brazil,,1,,1
Rachele Bruni,Italy,Open Water Swimming,2020,Japan,,,,0
Kadeisha Buchanan,Canada,Football,2016,Brazil,,,1,1
Kadeisha Buchanan,Canada,Football,2020,Japan,1,,,1
Amandine Buchard,France,Judo,2020,Japan,1,1,,2
Anne Buijs,The Netherlands,Volleyball,2016,Brazil,,,,0
Kris Burley,Canada,Gymnastics,1996,United States,,,,0
Balian Buschbaum,Germany,Pole Vault,2000,Australia,,,,0
Karin Büttner-Janz,Germany,Gymnastics,1968,Mexico,,1,1,2
Karin Büttner-Janz,Germany,Gymnastics,1972,Germany,2,2,1,5
Ally Carda,United States,Softball,2020,Japan,,1,,1
Marjorie Carpréaux,Belgium,Basketball,2020,Japan,,,,0
Cecilia Carranza Saroli,Argentina,Sailing,2008,China,,,,0
Cecilia Carranza Saroli,Argentina,Sailing,2012,United Kingdom,,,,0
Cecilia Carranza Saroli,Argentina,Sailing,2016,Brazil,1,,,1
Cecilia Carranza Saroli,Argentina,Sailing,2020,Japan,,,,0
Sherry Cassuto,United States,Rowing,1988,South Korea,,,,0
Jhonmar Castillo,Venezuela,Diving,1988,South Korea,,,,0
Rut Castillo,Mexico,Rhythmic Gymnastics,2020,Japan,,,,0
Isadora Cerullo,Brazil,Rugby Sevens,2016,Brazil,,,,0
Isadora Cerullo,Brazil,Rugby Sevens,2020,Japan,,,,0
Dirkie Chamberlain,South Africa,Hockey,2012,United Kingdom,,,,0
Dutee Chand,India,Track Athletics,2016,Brazil,,,,0
Dutee Chand,India,Track Athletics,2020,Japan,,,,0
Kendall Chase,United States,Rowing,2020,Japan,,,,0
Mark Chatfield,United States,Swimming,1972,Germany,,,,0
Darren Chiacchia,United States,Equestrian 3-Day Event,2004,Greece,,,1,1
Amanda Chidester,United States,Softball,2020,Japan,,1,,1
Francesca Clapcich,Italy,Sailing,2012,United Kingdom,,,,0
Francesca Clapcich,Italy,Sailing,2016,Brazil,,,,0
Dominic Clarke,Australia,Trampoline,2020,Japan,,,,0
Kerron Clement,United States,Track Athletics,2008,China,1,1,,2
Kerron Clement,United States,Track Athletics,2012,United Kingdom,,,,0
Kerron Clement,United States,Track Athletics,2016,Brazil,1,,,1
Érika Coimbra,Brazil,Volleyball,2000,Australia,,,1,1
Érika Coimbra,Brazil,Volleyball,2004,Greece,,,,0
Natalie Cook,Australia,Beach Volleyball,1996,United States,,,1,1
Natalie Cook,Australia,Beach Volleyball,2000,Australia,1,,,1
Natalie Cook,Australia,Beach Volleyball,2004,Greece,,,,0
Natalie Cook,Australia,Beach Volleyball,2008,China,,,,0
Natalie Cook,Australia,Beach Volleyball,2012,United Kingdom,,,,0
Aoife Cooke,Ireland,Marathon,2020,Japan,,,,0
Rose Cossar,Canada,Gymnastics,2012,United Kingdom,,,,0
Robert Costello,United States,Equestrian 3-Day Event,2000,Australia,,,,0
Brooke Crain,United States,BMX Cycling,2012,United Kingdom,,,,0
Brooke Crain,United States,BMX Cycling,2016,Brazil,,,,0
Scott Cranham,Canada,Diving,1972,Germany,,,,0
Scott Cranham,Canada,Diving,1976,Canada,,,,0
Orlando Cruz,Puerto Rico,Boxing,200,Australia,,,,0
Ana Marcela Cunha,Brazil,Open Water Swimming,2008,China,,,,0
Ana Marcela Cunha,Brazil,Open Water Swimming,2016,Brazil,,,,0
Ana Marcela Cunha,Brazil,Open Water Swimming,2020,Japan,1,,,1
Nina Cutro-Kelly,United States,Judo,2020,Japan,,,,0
Ana Carolina de Silva,Brazil,Volleyball,2020,Japan,,1,,1
Izabela da Silva,Brazil,Discus,2020,Japan,,,,0
Letícia “Lelê” da Silva,Brazil,Football,2020,Japan,,,,0
Marta da Silva,Brazil,Football,2004,Greece,,1,,1
Marta da Silva,Brazil,Football,2008,China,,1,,1
Marta da Silva,Brazil,Football,2012,United Kingdom,,,,0
Marta da Silva,Brazil,Football,2016,Brazil,,,,0
Marta da Silva,Brazil,Football,2020,Japan,,,,0
Lisa Dahlkvist,Sweden,Football,2012,United Kingdom,,,,0
Lisa Dahlkvist,Sweden,Football,2016,Brazil,,1,,1
Tom Daley,United Kingdom,Diving,2008,China,,,,0
Tom Daley,United Kingdom,Diving,2012,United Kingdom,,,1,1
Tom Daley,United Kingdom,Diving,2016,Brazil,,,1,1
Tom Daley,United Kingdom,Diving,2020,Japan,1,,1,2
Rachel Daly,United Kingdom,Football,2020,Japan,,,,0
Eleni Danillidou,Greece,Tennis,2000,Australia,,,,0
Eleni Danillidou,Greece,Tennis,2004,Greece,,,,0
Eleni Danillidou,Greece,Tennis,2008,China,,,,0
Tierna Davidson,United States,Football,2020,Japan,,,1,1
Lea Davison,United States,Cycling Cross Country,2012,United Kingdom,,,,0
Lea Davison,United States,Cycling Cross Country,2016,Brazil,,,,0
Chantal de Bruijn,The Netherlands,Hockey,2004,Greece,,1,,1
Irene de Kok,The Netherlands,Judo,1992,Spain,,,,0
Cristiane de Souza Silva,Brazil,Football,2004,Greece,,1,,1
Cristiane de Souza Silva,Brazil,Football,2008,China,,1,,1
Cristiane de Souza Silva,Brazil,Football,2012,United Kingdom,,,,0
Cristiane de Souza Silva,Brazil,Football,2016,Brazil,,,,0
Gabrielle DeBues-Stafford,Canada,Track Athletics,2016,Brazil,,,,0
Gabrielle DeBues-Stafford,Canada,Track Athletics,2020,Japan,,,,0
Anouk Dekker,The Netherlands,Football,2020,Japan,,,,0
Ricardo del Real,Mexico,Taekwondo,2000,Australia,,,,0
Casey Dellacqua,Australia,Tennis,2008,China,,,,0
Casey Dellacqua,Australia,Tennis,2012,United Kingdom,,,,0
Elena Delle Donne,United States,Basketball,2016,Brazil,1,,,1
Valerie Demey,Belgium,Cycling,2020,Japan,,,,0
Alex di Giorgio,Italy,Swimming,2012,United Kingdom,,,,0
Alex di Giorgio,Brazil,Swimming,2016,Brazil,,,,0
Célio Días,Portugal,Judo,2016,Brazil,,,,0
Margielyn Didal,Phillipines,Skateboarding,2020,Japan,,,,0
Mildred Didrikson Zaharias,United States,Track and Field Athletics,1932,United States,2,1,,3
Stefanie Dolson,United States,Basketball 3x3,2020,Japan,1,,,1
Gia Doonan,United States,Rowing,2020,Japan,,,,0
Robert Dover,United States,Equestrian Dressage,1984,United States,,,,0
Robert Dover,United States,Equestrian Dressage,1988,South Korea,,,,0
Robert Dover,United States,Equestrian Dressage,1992,Spain,,,1,1
Robert Dover,United States,Equestrian Dressage,1996,United States,,,1,1
Robert Dover,United States,Equestrian Dressage,2000,Australia,,,1,1
Robert Dover,United States,Equestrian Dressage,2004,Greece,,,1,1
Anton Down-Jenkins,New Zealand,Diving,2020,Japan,,,,0
Lauren Doyle,United States,Rugby Sevens,2016,Brazil,,,,0
Lauren Doyle,United States,Rugby Sevens,2020,Japan,,,,0
Cathrine Dufour,Denmark,Equestrian Dressage,2016,Brazil,,,,0
Cathrine Dufour,Denmark,Equestrian Dressage,2020,Japan,,,,0
Greg Duhaime,Canada,Steeplechase,1984,United States,,,,0
Céline Dumerc,France,Basketball,2012,United Kingdom,,1,,1
Katie (Hoyle) Duncan,New Zealand,Football,2008,China,,,,0
Katie (Hoyle) Duncan,New Zealand,Football,2012,United Kingdom,,,,0
Katie (Hoyle) Duncan,New Zealand,Football,2016,Brazil,,,,0
Imke Duplitzer,Germany,Fencing,2000,Australia,,,,0
Imke Duplitzer,Germany,Fencing,2004,Greece,,1,,1
Imke Duplitzer,Germany,Fencing,2008,China,,,,0
Imke Duplitzer,Germany,Fencing,2012,United Kingdom,,,,0
Paola Egonu,Italy,Volleyball,2016,Brazil,,,,0
Paola Egonu,Italy,Volleyball,2020,Japan,,,,0
Sujira Ekmongkolpaisarn,Thailand,Badminton,2000,Australia,,,,0
Norman Elder,Canada,Equestrian 3-Day Event,1960,Italy,,,,0
Norman Elder,Canada,Equestrian 3-Day Event,1968,Mexico,,,,0
Andri Eleftheriou,Cyprus,Shooting,2008,China,,,,0
Rashida Ellis,United States,Boxing,2020,Japan,,,,0
Christiane Endler,Chile,Football,2020,Japan,,,,0
Abby Erceg,New Zealand,Football,2008,China,,,,0
Abby Erceg,New Zealand,Football,2012,United Kingdom,,,,0
Abby Erceg,New Zealand,Football,2016,Brazil,,,,0
Abby Erceg,New Zealand,Football,2020,Japan,,,,0
Magdalena Eriksson,Sweden,Football,2016,Brazil,,1,,1
Magdalena Eriksson,Sweden,Football,2020,Japan,,1,,1
Marien Esparza,United States,Boxing,2012,United Kingdom,,,1,1
Nicola Fairbrother,United Kingdom,Judo,1992,Spain,,1,,1
Nicola Fairbrother,United Kingdom,Judo,1996,United States,,,,0
Deonise Fachinello,Brazil,Handball,2008,China,,,,0
Deonise Fachinello,Brazil,Handball,2012,United Kingdom,,,,0
Deonise Fachinello,Brazil,Handball,2016,Brazil,,,,0
Gigi Fernández,Puerto Rico,Tennis,1984,United States,,,,0
Gigi Fernández,Puerto Rico,Tennis,1992,Spain,1,,,1
Gigi Fernández,Puerto Rico,Tennis,1996,United States,1,,,1
Michelle Ferris,Australia,Cycling,1996,United States,,1,,1
Michelle Ferris,Australia,Cycling,2000,Australia,,1,,1
Paulo Figueiredo,Brazil,Swimming,1968,Mexico,,,,0
Marina Fioravanti,Brazil,Rugby Sevens,2020,Japan,,,,0
Nilla Fischer,Sweden,Football,2008,China,,,,0
Nilla Fischer,Sweden,Football,2012,United Kingdom,,,,0
Nilla Fischer,Sweden,Football,2016,Brazil,,1,,1
Gale Fitzgerald,United States,Pentathlon,1972,Germany,,,,0
Gale Fitzgerald,United States,Pentathlon,1976,Canada,,,,0
Sisca Folkertsma,The Netherlands,Football,2020,Japan,,,,0
Amini Fonua,Tonga,Swimming,2012,United Kingdom,,,,0
Amini Fonua,Tonga,Swimming,2016,Brazil,,,,0
Amini Fonua,Tonga,Swimming,2020,Japan,,,,0
Sandra Forgues,France,Canoe Kayaking,1992,Spain,,,1,1
Sandra Forgues,France,Canoe Kayaking,1996,United States,1,,,1
Sandra Forgues,France,Canoe Kayaking,2000,Australia,,,,0
Alison Forman,Australia,Football,2000,Australia,,,,0
Mark Foster,United Kingdom,Swimming,1988,South Korea,,,,0
Mark Foster,United Kingdom,Swimming,1992,Spain,,,,0
Mark Foster,United Kingdom,Swimming,1996,United States,,,,0
Mark Foster,United Kingdom,Swimming,2000,Australia,,,,0
Larissa França Maestrini,Brazil,Beach Volleyball,2008,China,,,,0
Larissa França Maestrini,Brazil,Beach Volleyball,2012,United Kingdom,,,,0
Larissa França Maestrini,Brazil,Beach Volleyball,2016,Brazil,,,,0
Adrianna Franch,United States,Football,2020,Japan,,,1,1
Larissa Franklin,Canada,Softball,2020,Japan,,,1,1
Edward Gal,The Netherlands,Equestrian Dressage,2012,United Kingdom,,,1,1
Edward Gal,The Netherlands,Equestrian Dressage,2016,Brazil,,,,0
